GenBank gi	Locus	Fold	Gene Name and/or Information
1380168_at	BE102969	51.77	Similar to PEA3 (LOC360635), mRNA
1398497_at	BF391243	47.72	Transcribed sequence with weak  similarity to protein sp:P04280 (H.sapiens) PRP1_HUMAN Salivary proline-rich protein precursor
1379855_at	BF413298	43.39	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1379107_at	BF416861	39.02	Transcribed sequence with moderate similarity to protein ref:NP_003750.1 (H.sapiens)  solute carrier family 4, sodium bicarbonate cotransporter, member 4; sodium bicarbonate cotransporter 1
1377434_at	BG374415	38.43	Similar to membrane-type frizzled-related protein (LOC315597), mRNA
1368344_at	NM_017007	35.27	glutamate decarboxylase 1
1370830_at	M37394	31.91	epidermal growth factor receptor
1385821_at	BF392004	30.23	Transcribed sequences
1380747_at	BE098757	30.22	Transcribed sequences
1372492_at	AI412937	27.14	Similar to claudin-10 (LOC290485), mRNA
1390638_at	AI072459	26.82	Transcribed sequences
1381665_at	BF410498	26.55	Transcribed sequences
1385177_at	BF390449	26.49	Transcribed sequences
1381145_at	BE112469	25.37	Transcribed sequences
1368606_at	NM_030838	23.62	solute carrier organic anion transporter family, member 1a5
1397217_at	BF408757	22.87	Transcribed sequences
1388037_at	J05087	22.52	ATPase, Ca++ transporting, plasma membrane 3
1375473_at	BI296644	22.33	Transcribed sequences
1384247_at	AI070365	21.91	Transcribed sequences
1394562_at	AW530585	21.86	Transcribed sequences
1383234_at	BF405850	21.18	UI-R-CA1-bje-c-16-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bje-c-16-0-UI 3', mRNA sequence.
1381010_at	BF412543	21.16	Transcribed sequences
1378899_at	BE108523	21.01	Transcribed sequences
1381668_at	AW528482	20.57	Transcribed sequences
1385170_at	BE120758	20.47	UI-R-BS1-azs-f-09-0-UI.s1 UI-R-BS1 Rattus norvegicus cDNA clone UI-R-BS1-azs-f-09-0-UI 3', mRNA sequence.
1375653_at	BE109405	19.63	Transcribed sequences
1391032_at	AI112194	19.62	UI-R-Y0-ml-g-05-0-UI.s1 UI-R-Y0 Rattus norvegicus cDNA clone UI-R-Y0-ml-g-05-0-UI 3', mRNA sequence.
1376434_at	AI101016	19.61	Transcribed sequences
1394778_at	BE116111	18.78	Transcribed sequences
1398645_at	BE106388	18.58	Transcribed sequence with strong similarity to protein sp:O00755 (H.sapiens) WN7A_HUMAN WNT-7A protein precursor
1378458_at	BI281745	18.49	Transcribed sequences
1369756_a_at	AF210250	18.47	solute carrier family 4, member 4
1375661_at	BE104180	18.38	Transcribed sequence with strong similarity to protein pdb:1BGM (E. coli) O Chain O, Beta-Galactosidase
1387179_at	NM_017142	17.72	adenylyl cyclase 8
1396887_at	AW527935	17.61	Transcribed sequences
1385849_at	AI146262	17.6	Transcribed sequences
1369625_at	L07268	17.59	aquaporin 1
1370115_at	NM_053726	17.33	solute carrier family 7, (cationic amino acid transporter, y+ system) member 10
1393335_at	BF418373	17.19	Similar to hypothetical protein (LOC317470), mRNA
1374159_at	BM388029	17.15	Transcribed sequences
1383468_at	BM958512	17.11	Transcribed sequences
1377778_at	BE107282	16.95	ischemia related factor vof-16
